RUN	SPR.SPRPerformanceTests	sprperformancetests	1591600814417	 	3.3.1
USER	scn	1	START	1591600814771	1591600814771
USER	scn	2	START	1591600815781	1591600815781
USER	scn	3	START	1591600816781	1591600816781
REQUEST	1		req reply testing	1591600814832	1591600817489	OK	 
USER	scn	1	END	1591600814771	1591600817524
USER	scn	4	START	1591600817784	1591600817784
REQUEST	2		req reply testing	1591600815808	1591600818083	OK	 
USER	scn	2	END	1591600815781	1591600818084
USER	scn	5	START	1591600818784	1591600818784
REQUEST	3		req reply testing	1591600816781	1591600818863	OK	 
USER	scn	3	END	1591600816781	1591600818864
REQUEST	4		req reply testing	1591600817784	1591600819491	OK	 
USER	scn	4	END	1591600817784	1591600819492
USER	scn	6	START	1591600819783	1591600819783
REQUEST	5		req reply testing	1591600818811	1591600820514	OK	 
USER	scn	5	END	1591600818784	1591600820515
USER	scn	7	START	1591600820783	1591600820783
REQUEST	6		req reply testing	1591600819784	1591600821472	OK	 
USER	scn	6	END	1591600819783	1591600821473
USER	scn	8	START	1591600821783	1591600821783
REQUEST	7		req reply testing	1591600820809	1591600822396	OK	 
USER	scn	7	END	1591600820783	1591600822397
USER	scn	9	START	1591600822784	1591600822784
REQUEST	8		req reply testing	1591600821784	1591600823607	OK	 
USER	scn	8	END	1591600821783	1591600823608
USER	scn	10	START	1591600823783	1591600823783
REQUEST	9		req reply testing	1591600822784	1591600824391	OK	 
USER	scn	9	END	1591600822784	1591600824392
USER	scn	11	START	1591600824783	1591600824783
REQUEST	10		req reply testing	1591600823784	1591600825544	OK	 
USER	scn	10	END	1591600823783	1591600825545
USER	scn	12	START	1591600825783	1591600825783
USER	scn	13	START	1591600826783	1591600826783
USER	scn	14	START	1591600827783	1591600827783
USER	scn	15	START	1591600828783	1591600828783
USER	scn	16	START	1591600829783	1591600829783
USER	scn	17	START	1591600830780	1591600830780
USER	scn	18	START	1591600831770	1591600831770
USER	scn	19	START	1591600832772	1591600832772
USER	scn	20	START	1591600833782	1591600833782
REQUEST	11		req reply testing	1591600824784	1591600839322	OK	 
USER	scn	11	END	1591600824783	1591600839323
REQUEST	12		req reply testing	1591600825784	1591600840479	OK	 
USER	scn	12	END	1591600825783	1591600840480
REQUEST	13		req reply testing	1591600826784	1591600841923	OK	 
USER	scn	13	END	1591600826783	1591600841924
REQUEST	14		req reply testing	1591600827784	1591600842408	OK	 
USER	scn	14	END	1591600827783	1591600842409
REQUEST	15		req reply testing	1591600828784	1591600842640	OK	 
USER	scn	15	END	1591600828783	1591600842641
REQUEST	16		req reply testing	1591600829784	1591600843537	OK	 
USER	scn	16	END	1591600829783	1591600843538
REQUEST	17		req reply testing	1591600830780	1591600844410	OK	 
USER	scn	17	END	1591600830780	1591600844411
REQUEST	18		req reply testing	1591600831770	1591600846760	OK	 
USER	scn	18	END	1591600831770	1591600846761
REQUEST	19		req reply testing	1591600832798	1591600846826	OK	 
USER	scn	19	END	1591600832772	1591600846826
REQUEST	20		req reply testing	1591600833782	1591600847804	OK	 
USER	scn	20	END	1591600833782	1591600847805
